,Abbr,cash_0,cash_1,cash_2,cash_3,cash_4,cash_5,cash_6,cash_7,cash_8,cash_9,cash_10,cash_11,cash_12,cash_13,cash_14,cash_15,cash_16,tanf_0,tanf_1,tanf_2,tanf_3,tanf_4,tanf_5,tanf_6,tanf_7,tanf_8,tanf_9,tanf_10,tanf_11,tanf_12,tanf_13,tanf_14,tanf_15,tanf_16,food_children_0,food_children_1,food_children_2,food_children_3,food_children_4,food_children_5,food_children_6,food_children_7,food_children_8,food_children_9,food_children_10,food_children_11,food_children_12,food_children_13,food_children_14,food_children_15,food_children_16,food_adults_0,food_adults_1,food_adults_2,food_adults_3,food_adults_4,food_adults_5,food_adults_6,food_adults_7,food_adults_8,food_adults_9,food_adults_10,food_adults_11,food_adults_12,food_adults_13,food_adults_14,food_adults_15,food_adults_16,ssi_0,ssi_1,ssi_2,ssi_3,ssi_4,ssi_5,ssi_6,ssi_7,ssi_8,ssi_9,ssi_10,ssi_11,ssi_12,ssi_13,ssi_14,ssi_15,ssi_16,medicaid_0,medicaid_1,medicaid_2,medicaid_3,medicaid_4,medicaid_5,medicaid_6,medicaid_7,medicaid_8,medicaid_9,medicaid_10,medicaid_11,medicaid_12,medicaid_13,medicaid_14,medicaid_15,medicaid_16,health_undocumented__children_0,health_undocumented__children_1,health_undocumented__children_2,health_undocumented__children_3,health_undocumented__children_4,health_undocumented__children_5,health_undocumented__children_6,health_undocumented__children_7,health_undocumented__children_8,health_undocumented__children_9,health_undocumented__children_10,health_undocumented__children_11,health_undocumented__children_12,health_undocumented__children_13,health_undocumented__children_14,health_undocumented__children_15,health_undocumented__children_16,health_adults_0,health_adults_1,health_adults_2,health_adults_3,health_adults_4,health_adults_5,health_adults_6,health_adults_7,health_adults_8,health_adults_9,health_adults_10,health_adults_11,health_adults_12,health_adults_13,health_adults_14,health_adults_15,health_adults_16,health_undocumented_adults_0,health_undocumented_adults_1,health_undocumented_adults_2,health_undocumented_adults_3,health_undocumented_adults_4,health_undocumented_adults_5,health_undocumented_adults_6,health_undocumented_adults_7,health_undocumented_adults_8,health_undocumented_adults_9,health_undocumented_adults_10,health_undocumented_adults_11,health_undocumented_adults_12,health_undocumented_adults_13,health_undocumented_adults_14,health_undocumented_adults_15,health_undocumented_adults_16,medicaid_lpr_pregnant_0,medicaid_lpr_pregnant_1,medicaid_lpr_pregnant_2,medicaid_lpr_pregnant_3,medicaid_lpr_pregnant_4,medicaid_lpr_pregnant_5,medicaid_lpr_pregnant_6,medicaid_lpr_pregnant_7,medicaid_lpr_pregnant_8,medicaid_lpr_pregnant_9,medicaid_lpr_pregnant_10,medicaid_lpr_pregnant_11,medicaid_lpr_pregnant_12,medicaid_lpr_pregnant_13,medicaid_lpr_pregnant_14,medicaid_lpr_pregnant_15,medicaid_lpr_pregnant_16,medicaid_undocumented_0,medicaid_undocumented_1,medicaid_undocumented_2,medicaid_undocumented_3,medicaid_undocumented_4,medicaid_undocumented_5,medicaid_undocumented_6,medicaid_undocumented_7,medicaid_undocumented_8,medicaid_undocumented_9,medicaid_undocumented_10,medicaid_undocumented_11,medicaid_undocumented_12,medicaid_undocumented_13,medicaid_undocumented_14,medicaid_undocumented_15,medicaid_undocumented_16,medicaid_lpr_ban_0,medicaid_lpr_ban_1,medicaid_lpr_ban_2,medicaid_lpr_ban_3,medicaid_lpr_ban_4,medicaid_lpr_ban_5,medicaid_lpr_ban_6,medicaid_lpr_ban_7,medicaid_lpr_ban_8,medicaid_lpr_ban_9,medicaid_lpr_ban_10,medicaid_lpr_ban_11,medicaid_lpr_ban_12,medicaid_lpr_ban_13,medicaid_lpr_ban_14,medicaid_lpr_ban_15,medicaid_lpr_ban_16
Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
California,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Connecticut,CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
District of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
